dataset,subject,budget,variant,accuracy,balanced_accuracy,kappa,macro_f1
bci2a,3,n50,sew_clif_ce,0.8541666666666666,0.8541666666666666,0.8055555555555557,0.8524575000411515
bci2a,3,n50,sew_clif_equal,0.8530092592592592,0.8530092592592592,0.8040123456790124,0.8519409434392308
bci2a,4,all,ann_sew_ce,0.5648148148148148,0.5648148148148148,0.4197530864197532,0.5591469290319723
bci2a,4,all,ann_sew_equal,0.5949074074074074,0.5949074074074074,0.45987654320987653,0.5901252208046809
bci2a,4,all,gru_stat,0.6284722222222222,0.6284722222222222,0.5046296296296297,0.6203573398856815
bci2a,4,all,sew_clif_ce,0.6319444444444444,0.6319444444444444,0.5092592592592592,0.6254898749728116
bci2a,4,all,sew_clif_equal,0.6469907407407408,0.6469907407407407,0.529320987654321,0.6411672658737476
bci2a,4,all,soft_clif_exact,0.6331018518518519,0.6331018518518519,0.5108024691358024,0.6243335420553991
bci2a,4,all,tcn_stat,0.6319444444444444,0.6319444444444444,0.5092592592592592,0.6218656922352513
bci2a,4,n25,ann_sew_ce,0.5011574074074074,0.5011574074074074,0.33487654320987653,0.4899180624813943
bci2a,4,n25,ann_sew_equal,0.5150462962962963,0.5150462962962963,0.353395061728395,0.5023201074564531
bci2a,4,n25,gru_stat,0.5810185185185185,0.5810185185185185,0.44135802469135804,0.5647870821269455
bci2a,4,n25,sew_clif_ce,0.6134259259259259,0.6134259259259259,0.484567901234568,0.602324215206961
bci2a,4,n25,sew_clif_equal,0.611111111111111,0.611111111111111,0.48148148148148145,0.6022290362960261
bci2a,4,n25,soft_clif_exact,0.5902777777777778,0.5902777777777778,0.4537037037037037,0.5826011809395768
bci2a,4,n25,tcn_stat,0.6296296296296297,0.6296296296296295,0.5061728395061729,0.6225145211454656
bci2a,4,n50,ann_sew_ce,0.5428240740740741,0.5428240740740741,0.3904320987654321,0.5353970870981847
bci2a,4,n50,ann_sew_equal,0.545138888888889,0.545138888888889,0.3935185185185186,0.5393135145312553
bci2a,4,n50,sew_clif_ce,0.6168981481481481,0.6168981481481481,0.48919753086419754,0.6080768375725533
bci2a,4,n50,sew_clif_equal,0.6273148148148149,0.6273148148148149,0.5030864197530863,0.6193282235946286
bci2a,5,all,ann_sew_ce,0.5555555555555557,0.5555555555555555,0.40740740740740744,0.53702298626148
bci2a,5,all,ann_sew_equal,0.5532407407407408,0.5532407407407408,0.404320987654321,0.5333817833642508
bci2a,5,all,gru_stat,0.6307870370370371,0.6307870370370371,0.5077160493827161,0.6094948854992741
bci2a,5,all,sew_clif_ce,0.6168981481481481,0.6168981481481481,0.48919753086419754,0.5899015939910061
bci2a,5,all,sew_clif_equal,0.6157407407407408,0.6157407407407408,0.4876543209876543,0.5865250062695527
bci2a,5,all,soft_clif_exact,0.6076388888888888,0.607638888888889,0.4768518518518518,0.5648016524894413
bci2a,5,all,tcn_stat,0.625,0.625,0.5000000000000001,0.5883421499151289
