dataset,subject,seed,budget,variant,experiment,accuracy,balanced_accuracy,kappa,macro_f1
bci2a,5,1,all,gru_stat,REV-E2,0.6388888888888888,0.6388888888888888,0.5185185185185185,0.6052649107939695
bci2a,5,1,n25,tcn_stat,REV-E2,0.5694444444444444,0.5694444444444444,0.4259259259259259,0.5281578019222614
bci2a,5,1,all,tcn_stat,REV-E2,0.625,0.625,0.5,0.583264183497326
bci2a,5,1,n25,ann_sew_equal,REV-E3,0.5208333333333334,0.5208333333333334,0.36111111111111116,0.5002393496150696
bci2a,5,1,n50,ann_sew_equal,REV-E3,0.5416666666666666,0.5416666666666667,0.38888888888888884,0.5268195027121492
bci2a,5,1,all,ann_sew_equal,REV-E3,0.5868055555555556,0.5868055555555556,0.4490740740740741,0.563226978372684
bci2a,5,1,n25,sew_clif_equal,REV-E3,0.5659722222222222,0.5659722222222222,0.4212962962962963,0.5150829631726376
bci2a,5,1,n50,sew_clif_equal,REV-E3,0.6284722222222222,0.6284722222222222,0.5046296296296297,0.5740195593038602
bci2a,5,1,all,sew_clif_equal,REV-E3,0.6423611111111112,0.6423611111111112,0.5231481481481483,0.600712593402588
bci2a,5,1,n25,ann_sew_ce,RECOVERED_PARENT,0.5,0.5,0.3333333333333333,0.46166819291819283
bci2a,5,1,n25,sew_clif_ce,RECOVERED_PARENT,0.5729166666666666,0.5729166666666667,0.4305555555555555,0.502099183861102
bci2a,5,1,all,ann_sew_ce,RECOVERED_PARENT,0.5833333333333334,0.5833333333333333,0.4444444444444445,0.5628362035337522
bci2a,5,1,all,sew_clif_ce,RECOVERED_PARENT,0.6354166666666666,0.6354166666666666,0.5138888888888888,0.5963483854144032
bci2a,5,1,n50,ann_sew_ce,RECOVERED_PARENT,0.5694444444444444,0.5694444444444444,0.4259259259259259,0.555106998264893
bci2a,5,1,n50,sew_clif_ce,RECOVERED_PARENT,0.6180555555555556,0.6180555555555556,0.49074074074074076,0.5728967863026647
bci2a,5,2,n25,soft_clif_exact,REV-E1,0.5520833333333334,0.5520833333333333,0.40277777777777785,0.5171524783522788
bci2a,5,2,all,soft_clif_exact,REV-E1,0.59375,0.59375,0.4583333333333333,0.5529522082868511
bci2a,5,2,n25,gru_stat,REV-E2,0.5590277777777778,0.5590277777777777,0.41203703703703703,0.535971779113153
bci2a,5,2,all,gru_stat,REV-E2,0.6284722222222222,0.6284722222222222,0.5046296296296297,0.6117262231213467
bci2a,5,2,n25,tcn_stat,REV-E2,0.6006944444444444,0.6006944444444444,0.46759259259259256,0.569335164273297
bci2a,5,2,all,tcn_stat,REV-E2,0.6215277777777778,0.6215277777777778,0.4953703703703704,0.5852926325183776
bci2a,5,2,n25,ann_sew_equal,REV-E3,0.4826388888888889,0.4826388888888889,0.3101851851851852,0.4565135967887833
bci2a,5,2,n50,ann_sew_equal,REV-E3,0.5208333333333334,0.5208333333333333,0.36111111111111116,0.49276246242420274
bci2a,5,2,all,ann_sew_equal,REV-E3,0.4826388888888889,0.4826388888888889,0.3101851851851852,0.4527925209173509
bci2a,5,2,n25,sew_clif_equal,REV-E3,0.5347222222222222,0.5347222222222222,0.3796296296296296,0.5049037674037674
bci2a,5,2,n50,sew_clif_equal,REV-E3,0.5625,0.5625,0.4166666666666667,0.5343265306122449
bci2a,5,2,all,sew_clif_equal,REV-E3,0.6041666666666666,0.6041666666666666,0.47222222222222215,0.5836594567742108
bci2a,5,2,n25,ann_sew_ce,RECOVERED_PARENT,0.4513888888888889,0.45138888888888884,0.26851851851851855,0.4353089681321935
bci2a,5,2,n25,sew_clif_ce,RECOVERED_PARENT,0.5486111111111112,0.548611111111111,0.3981481481481482,0.5151888646261494
bci2a,5,2,all,ann_sew_ce,RECOVERED_PARENT,0.5208333333333334,0.5208333333333333,0.36111111111111116,0.4926521549438216
bci2a,5,2,all,sew_clif_ce,RECOVERED_PARENT,0.6006944444444444,0.6006944444444444,0.46759259259259256,0.5741593237901137
bci2a,5,2,n50,ann_sew_ce,RECOVERED_PARENT,0.5486111111111112,0.5486111111111112,0.3981481481481482,0.5212830629904994
bci2a,5,2,n50,sew_clif_ce,RECOVERED_PARENT,0.5694444444444444,0.5694444444444444,0.4259259259259259,0.5389004474008546
bci2a,6,0,n25,soft_clif_exact,REV-E1,0.5,0.5,0.3333333333333333,0.4929019152750074
bci2a,6,0,all,soft_clif_exact,REV-E1,0.5347222222222222,0.5347222222222222,0.3796296296296296,0.526243403939056
bci2a,6,0,n25,gru_stat,REV-E2,0.4722222222222222,0.47222222222222227,0.2962962962962963,0.463575156732261
bci2a,6,0,all,gru_stat,REV-E2,0.5277777777777778,0.5277777777777778,0.3703703703703704,0.5292939785964346
bci2a,6,0,n25,tcn_stat,REV-E2,0.4930555555555556,0.4930555555555555,0.3240740740740741,0.4886342393772159
bci2a,6,0,all,tcn_stat,REV-E2,0.5069444444444444,0.5069444444444444,0.34259259259259256,0.5071847986335745
bci2a,6,0,n25,ann_sew_equal,REV-E3,0.40625,0.40624999999999994,0.20833333333333334,0.40209692140498804
bci2a,6,0,n50,ann_sew_equal,REV-E3,0.4548611111111111,0.4548611111111111,0.27314814814814814,0.45117936829904376
bci2a,6,0,all,ann_sew_equal,REV-E3,0.4965277777777778,0.4965277777777778,0.3287037037037037,0.4950366435301873
bci2a,6,0,n25,sew_clif_equal,REV-E3,0.5243055555555556,0.5243055555555556,0.36574074074074076,0.5178558496184842
bci2a,6,0,n50,sew_clif_equal,REV-E3,0.5555555555555556,0.5555555555555556,0.40740740740740744,0.5517152066305975
bci2a,6,0,all,sew_clif_equal,REV-E3,0.5451388888888888,0.5451388888888888,0.39351851851851843,0.5425956909531545
bci2a,6,0,n25,ann_sew_ce,RECOVERED_PARENT,0.4236111111111111,0.4236111111111111,0.23148148148148148,0.41888431406874027
bci2a,6,0,n25,sew_clif_ce,RECOVERED_PARENT,0.5069444444444444,0.5069444444444444,0.34259259259259256,0.5027205489616036
bci2a,6,0,all,ann_sew_ce,RECOVERED_PARENT,0.4930555555555556,0.4930555555555555,0.3240740740740741,0.4901187363834423
bci2a,6,0,all,sew_clif_ce,RECOVERED_PARENT,0.53125,0.53125,0.375,0.5301490210546494
bci2a,6,0,n50,ann_sew_ce,RECOVERED_PARENT,0.4652777777777778,0.4652777777777778,0.28703703703703703,0.46387232854810256
bci2a,6,0,n50,sew_clif_ce,RECOVERED_PARENT,0.5243055555555556,0.5243055555555556,0.36574074074074076,0.5246519691670462
bci2a,6,1,n25,soft_clif_exact,REV-E1,0.4652777777777778,0.46527777777777773,0.28703703703703703,0.4488939503582948
bci2a,6,1,all,soft_clif_exact,REV-E1,0.4861111111111111,0.48611111111111116,0.3148148148148148,0.4841713624185595
bci2a,6,1,n25,gru_stat,REV-E2,0.4756944444444444,0.4756944444444444,0.3009259259259259,0.4680956022657271
bci2a,6,1,all,gru_stat,REV-E2,0.4791666666666667,0.47916666666666663,0.3055555555555556,0.47842970017704467
bci2a,6,1,n25,tcn_stat,REV-E2,0.4722222222222222,0.4722222222222222,0.2962962962962963,0.44554443640500885
bci2a,6,1,all,tcn_stat,REV-E2,0.46875,0.46875000000000006,0.2916666666666667,0.4662210408595922
bci2a,6,1,n25,ann_sew_equal,REV-E3,0.4097222222222222,0.4097222222222222,0.21296296296296294,0.40345871637007674
bci2a,6,1,n50,ann_sew_equal,REV-E3,0.4305555555555556,0.4305555555555555,0.24074074074074078,0.42946126175074417
bci2a,6,1,all,ann_sew_equal,REV-E3,0.4340277777777778,0.4340277777777778,0.24537037037037038,0.435054945054945
bci2a,6,1,n25,sew_clif_equal,REV-E3,0.4722222222222222,0.47222222222222227,0.2962962962962963,0.45114193006277664
bci2a,6,1,n50,sew_clif_equal,REV-E3,0.4722222222222222,0.4722222222222222,0.2962962962962963,0.45908514381890525
bci2a,6,1,all,sew_clif_equal,REV-E3,0.4895833333333333,0.4895833333333333,0.3194444444444444,0.4869944467533498
bci2a,6,1,n25,ann_sew_ce,RECOVERED_PARENT,0.3993055555555556,0.3993055555555556,0.1990740740740741,0.3922899460198444
bci2a,6,1,n25,sew_clif_ce,RECOVERED_PARENT,0.4756944444444444,0.4756944444444444,0.3009259259259259,0.46117380848707273
bci2a,6,1,all,ann_sew_ce,RECOVERED_PARENT,0.4652777777777778,0.4652777777777778,0.28703703703703703,0.4666344652838961
bci2a,6,1,all,sew_clif_ce,RECOVERED_PARENT,0.4756944444444444,0.4756944444444444,0.3009259259259259,0.4680283498178264
bci2a,6,1,n50,ann_sew_ce,RECOVERED_PARENT,0.4097222222222222,0.40972222222222227,0.21296296296296294,0.40703442934852097
bci2a,6,1,n50,sew_clif_ce,RECOVERED_PARENT,0.4652777777777778,0.4652777777777778,0.28703703703703703,0.4530996657519717
bci2a,6,2,n25,soft_clif_exact,REV-E1,0.5069444444444444,0.5069444444444444,0.34259259259259256,0.5007493690426956
bci2a,6,2,all,soft_clif_exact,REV-E1,0.5138888888888888,0.5138888888888888,0.3518518518518518,0.5082327468888288
bci2a,6,2,n25,gru_stat,REV-E2,0.4930555555555556,0.4930555555555556,0.3240740740740741,0.4779059297080114
bci2a,6,2,all,gru_stat,REV-E2,0.5,0.49999999999999994,0.3333333333333333,0.4936233497229944
bci2a,6,2,n25,tcn_stat,REV-E2,0.4930555555555556,0.4930555555555556,0.3240740740740741,0.48570157824279575
