dataset,subject,seed,budget,variant,layer,firing_rate,event_sparsity,events,denominator_elements,denominator_definition,total_events_all_layers
bci2a,6,2,n50,sew_clif_equal,0,0.1985526379243827,0.8014473620756173,65875,331776,batch_x_channel_x_time,155344
bci2a,6,2,n50,sew_clif_equal,1,0.045660325038580245,0.9543396749614198,15149,331776,batch_x_channel_x_time,155344
bci2a,6,2,n50,sew_clif_equal,2,0.05691490644290124,0.9430850935570988,18883,331776,batch_x_channel_x_time,155344
bci2a,6,2,n50,sew_clif_equal,3,0.16709165219907407,0.8329083478009259,55437,331776,batch_x_channel_x_time,155344
bci2a,6,2,all,sew_clif_equal,0,0.20339023919753085,0.7966097608024691,67480,331776,batch_x_channel_x_time,154747
bci2a,6,2,all,sew_clif_equal,1,0.042124807098765434,0.9578751929012346,13976,331776,batch_x_channel_x_time,154747
bci2a,6,2,all,sew_clif_equal,2,0.054205246913580245,0.9457947530864198,17984,331776,batch_x_channel_x_time,154747
bci2a,6,2,all,sew_clif_equal,3,0.16669982156635801,0.833300178433642,55307,331776,batch_x_channel_x_time,154747
bci2a,7,0,n25,sew_clif_equal,0,0.19013732156635801,0.809862678433642,63083,331776,batch_x_channel_x_time,145592
bci2a,7,0,n25,sew_clif_equal,1,0.03624734760802469,0.9637526523919753,12026,331776,batch_x_channel_x_time,145592
bci2a,7,0,n25,sew_clif_equal,2,0.056049864969135804,0.9439501350308642,18596,331776,batch_x_channel_x_time,145592
bci2a,7,0,n25,sew_clif_equal,3,0.1563916618441358,0.8436083381558642,51887,331776,batch_x_channel_x_time,145592
bci2a,7,0,n50,sew_clif_equal,0,0.19427565586419754,0.8057243441358024,64456,331776,batch_x_channel_x_time,157319
bci2a,7,0,n50,sew_clif_equal,1,0.04611545138888889,0.9538845486111112,15300,331776,batch_x_channel_x_time,157319
